label,scope,registered_on,author,why,hypothesis,scored_on,outcome
range_filter@per_days=10.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
"range_filter@mult=2.0,per_days=50.0",us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
range_filter_macd,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
"range_filter_macd@fast_days=12.0,signal_days=9.0,slow_days=26.0",us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
range_filter_macd@per_days=10.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ema_cross_sniper,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ema_cross_sniper@allow_short=0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
"ema_cross_sniper@fast_days=5.0,slow_days=13.0",us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
"ema_cross_sniper@fast_days=20.0,slow_days=50.0",us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bb_outside_in,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bb_outside_in@allow_short=0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bb_outside_in@bb_std=2.5,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bb_outside_in@bb_days=50.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ssl_hybrid,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ssl_hybrid@baseline_days=60.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ssl_hybrid@exit_days=10.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ssl_hybrid@kc_mult=0.5,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
heikin_reversal,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
heikin_reversal@ma_days=12.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
heikin_reversal@ma_days=3.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
heikin_reversal@open_lag=1,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
sma_fan_dip,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
sma_fan_dip@dip_pct=0.03,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
sma_fan_dip@dip_pct=0.01,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
sma_fan_dip@sell_fastk=50.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
vwma_offset_dip,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
"vwma_offset_dip@ema_off=0.96,vwma_off=0.995",us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
vwma_offset_dip@rsi_max=70.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ema_fan_align,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ema_fan_align@fan_gain=1.008,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ema_fan_align@fan_gain=1.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
ema_fan_align@exit_days=48.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
renko_delta,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
renko_delta@min_steps=2,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
renko_delta@delta=0.02,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
renko_delta@delta=0.1,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
lorentzian_knn,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
lorentzian_knn@use_filters=0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
lorentzian_knn@neighbors=4,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
lorentzian_knn@feature_count=2,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn@allow_short=0,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn@lookback=1,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn@lookback=3,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center@period=5.0,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center@period=10.0,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center@allow_short=0,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
range_filter,us_etfs/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
